Time,cpu_rate,memory_rate,read_bytes_rate,write_bytes_rate,io_seconds_rate,pressure_io_rate
2022-03-17 00:00:00,7.911016949071666,4.022410061107373,0.0,61925.96610169492,0.009762711864422565,2.3728813561073196e-05
2022-03-17 00:00:01,7.38559322033602,4.023191373100554,0.0,61578.84745762711,0.009694915254239262,2.3694915256074035e-05
2022-03-17 00:00:02,6.752118643992816,4.02395142214832,0.0,61925.96610169492,0.009762711864422565,2.3881355931642525e-05
2022-03-17 00:00:03,6.314618644078649,4.024704839182103,0.0,61023.457627118645,0.009491525423812671,2.3525423727224443e-05
2022-03-17 00:00:04,5.853283898367266,4.025419679157727,0.0,62273.08474576271,0.009694915254239262,2.5016949154895094e-05
2022-03-17 00:00:05,5.311440678053884,4.0261391767309584,0.0,61925.96610169492,0.009627118644055958,2.500000000432241e-05
2022-03-17 00:00:06,4.790783898413608,4.026883481073861,0.0,61440.0,0.009559322033872655,2.496610169546946e-05
2022-03-17 00:00:07,4.272245762769103,4.027663071780974,0.0,50679.3220338983,0.00928813559326276,2.4949152541042983e-05
2022-03-17 00:00:08,3.754766949134819,4.0284484338590225,0.0,50957.016949152545,0.00928813559326276,2.5322033896033752e-05
2022-03-17 00:00:09,3.23146186439493,4.029224126359521,0.0,52137.22033898305,0.009694915254239262,2.6593220335429173e-05
2022-03-17 00:00:10,2.5889830508908744,4.029964076861181,0.0,52970.305084745756,0.009830508474605868,2.698305084484642e-05
2022-03-17 00:00:11,2.5847457627266692,4.030288589909614,0.0,52553.76271186441,0.009627118644179278,2.666101694928129e-05
2022-03-17 00:00:12,2.5762711864475705,4.030567640755622,0.0,51859.52542372882,0.009762711864422565,2.6966101694273735e-05
2022-03-17 00:00:13,2.586864406771781,4.03082714994224,0.0,50818.16949152542,0.009423728813506048,2.6050847459296395e-05
2022-03-17 00:00:14,2.587394067727544,4.031078761463391,0.0,61509.423728813555,0.009830508474482547,2.7067796613125007e-05
2022-03-17 00:00:15,2.582097457627114,4.031315691426995,0.0,61509.423728813555,0.009762711864422565,2.6966101698127525e-05
2022-03-17 00:00:16,2.583156779686675,4.0315967166893785,0.0,61925.96610169492,0.009898305084789172,2.713559322312333e-05
2022-03-17 00:00:17,2.58580508473689,4.031911712038394,0.0,60676.338983050846,0.009423728813506048,2.635593220043505e-05
2022-03-17 00:00:18,2.583156779662005,4.032177144474103,0.0,60329.22033898305,0.009491525423812671,2.654237288371112e-05
2022-03-17 00:00:19,2.585805084786216,4.032461916064967,0.0,61509.423728813555,0.009966101694972475,2.6983050848700212e-05
2022-03-17 00:00:20,2.5932203389810695,4.032741068163103,0.0,61925.96610169492,0.010237288135582367,2.7288135589838867e-05
2022-03-17 00:00:21,2.590572033708881,4.033010550683636,0.0,61440.0,0.01010169491521576,2.689830508042162e-05
2022-03-17 00:00:22,2.5916313559657453,4.0332893483993715,0.0,60259.796610169484,0.010169491525399064,2.7067796609271217e-05
2022-03-17 00:00:23,2.551906779669906,4.033597914238706,0.0,59357.28813559322,0.009830508474605868,2.610169491101445e-05
2022-03-17 00:00:24,2.5826271186075616,4.0340106685107795,0.0,61023.457627118645,0.010237288135582367,2.7000000003126686e-05
2022-03-17 00:00:25,2.560911016855428,4.034365860951916,0.0,60606.91525423728,0.010033898305032457,2.6711864408706928e-05
2022-03-17 00:00:26,2.574682203382906,4.034706675591837,0.0,57552.27118644068,0.009966101694849154,2.584745762930143e-05
2022-03-17 00:00:27,2.5656779660000666,4.03501321638875,0.0,56163.796610169484,0.009355932203322743,2.4966101691615667e-05
2022-03-17 00:00:28,2.554025423764344,4.035161500120232,0.0,56372.067796610165,0.00928813559326276,2.508474576103963e-05
2022-03-17 00:00:29,2.5550847457252246,4.035321832854155,0.0,57135.72881355932,0.009491525423689352,2.5898305081019483e-05
