,second,vehicleCount
0,1,400
1,1,400
2,1,400
3,1,400
4,1,400
5,1,400
6,1,400
7,1,400
8,1,400
9,1,400
10,1,400
11,1,400
12,1,400
13,1,400
14,1,400
15,1,400
16,1,400
17,1,400
18,1,400
19,1,400
20,1,400
21,1,400
22,1,400
23,1,400
24,1,400
25,1,400
26,1,400
27,1,400
28,1,400
29,1,400
30,1,400
31,1,400
32,1,400
33,1,400
34,1,400
35,1,400
36,1,400
37,1,400
38,1,400
39,1,400
40,1,400
41,1,400
42,1,400
43,1,400
44,1,400
45,1,400
46,1,400
47,1,400
48,1,400
49,1,400
50,1,400
51,1,400
52,1,400
53,1,400
54,1,400
55,1,400
56,1,400
57,1,400
58,1,400
59,1,400
60,1,400
61,1,400
62,1,400
63,1,401
64,1,401
65,1,401
66,1,401
67,1,401
68,1,401
69,1,401
70,1,401
71,1,401
72,1,401
73,1,401
74,1,401
75,1,401
76,1,401
77,1,401
78,1,401
79,1,401
80,1,401
81,1,401
82,1,401
83,1,401
84,1,401
85,1,401
86,1,401
87,1,401
88,1,401
89,1,401
90,1,401
91,1,401
92,1,401
93,1,401
94,1,401
95,1,401
96,1,401
97,1,401
98,1,401
99,1,401
100,1,400
101,1,400
102,1,400
103,1,400
104,1,400
105,1,400
106,1,400
107,1,400
108,1,400
109,1,400
110,1,400
111,1,400
112,1,400
113,1,400
114,1,400
115,1,400
116,1,400
117,1,400
118,1,400
119,1,400
120,1,400
121,1,400
122,1,400
123,1,400
124,1,400
125,1,400
126,1,400
127,1,400
128,1,400
129,1,400
130,1,400
131,1,400
132,1,400
133,1,400
134,1,400
135,1,400
136,1,400
137,1,400
138,1,400
139,1,400
140,1,401
141,1,401
142,1,401
143,1,401
144,1,401
145,1,401
146,1,401
147,1,401
148,1,401
149,1,401
150,1,401
151,1,400
152,1,400
153,1,400
154,1,400
155,1,400
156,1,400
157,1,400
158,1,400
159,1,400
160,1,401
161,1,401
162,1,401
163,1,401
164,1,401
165,1,401
166,1,401
167,1,401
168,1,401
169,1,401
170,1,401
171,1,401
172,1,401
173,1,401
174,1,401
175,1,401
176,1,401
177,1,401
178,1,401
179,1,401
180,1,401
181,1,401
182,1,401
183,1,401
184,1,401
185,1,401
186,1,401
187,1,401
188,1,401
189,1,401
190,1,401
191,1,400
192,1,400
193,1,400
194,1,400
195,1,400
196,1,400
197,1,400
198,1,400
199,1,400
200,1,400
201,1,400
202,1,400
203,1,400
204,1,400
205,1,400
206,1,400
207,1,400
208,1,400
209,1,401
210,1,401
211,1,401
212,1,401
213,1,401
214,1,401
215,1,402
216,1,402
217,1,402
218,1,402
219,1,402
220,1,402
221,1,402
222,1,402
223,1,402
224,1,402
225,1,402
226,1,402
227,1,402
228,1,402
229,1,403
230,1,402
231,1,402
232,1,403
233,1,403
234,1,403
235,1,403
236,1,403
237,1,403
238,1,403
239,1,402
240,1,402
241,1,402
242,1,402
243,1,402
244,1,402
245,1,402
246,1,402
247,1,402
248,1,402
249,1,402
250,1,402
251,1,402
252,1,402
253,1,403
254,1,403
255,1,403
256,1,403
257,1,403
258,1,403
259,1,403
260,1,403
261,1,403
262,1,403
263,1,403
264,1,403
265,1,403
266,1,403
267,1,403
268,1,403
269,1,403
270,1,403
271,1,403
272,1,403
273,1,404
274,1,404
275,1,404
276,1,405
277,1,405
278,1,405
279,1,405
280,1,405
281,1,405
282,1,405
283,1,405
284,1,406
285,1,406
286,1,406
287,1,406
288,1,406
289,1,406
290,1,406
291,1,407
292,1,407
293,1,407
294,1,407
295,1,408
296,1,408
297,1,408
298,1,409
299,1,409
300,1,409
301,1,409
302,1,410
303,1,410
304,1,411
305,1,412
306,1,412
307,1,413
308,1,414
309,1,415
310,1,416
311,1,417
312,1,418
313,1,418
